region_id	experiment	target	unique_peak_intervals	file	context
PMP22_P2_REPORTER	ENCSR157ZVP	H3K36me3	0	ENCFF425MZT	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_A	ENCSR157ZVP	H3K36me3	0	ENCFF425MZT	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_B	ENCSR157ZVP	H3K36me3	0	ENCFF425MZT	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_C	ENCSR157ZVP	H3K36me3	0	ENCFF425MZT	bulk tibial nerve; not purified Schwann
PMP22_P1	ENCSR157ZVP	H3K36me3	0	ENCFF425MZT	bulk tibial nerve; not purified Schwann
PMP22_P2	ENCSR157ZVP	H3K36me3	0	ENCFF425MZT	bulk tibial nerve; not purified Schwann
PMP22_DISTAL	ENCSR157ZVP	H3K36me3	0	ENCFF425MZT	bulk tibial nerve; not purified Schwann
PMP22_INTRONIC	ENCSR479GPU	H3K9me3	0	ENCFF671DNU	bulk tibial nerve; not purified Schwann
PMP22_INTRONIC_TRANSGENE	ENCSR479GPU	H3K9me3	0	ENCFF671DNU	bulk tibial nerve; not purified Schwann
PMP22_P2_REPORTER	ENCSR479GPU	H3K9me3	0	ENCFF671DNU	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_A	ENCSR479GPU	H3K9me3	0	ENCFF671DNU	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_B	ENCSR479GPU	H3K9me3	0	ENCFF671DNU	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_C	ENCSR479GPU	H3K9me3	0	ENCFF671DNU	bulk tibial nerve; not purified Schwann
PMP22_P1	ENCSR479GPU	H3K9me3	0	ENCFF671DNU	bulk tibial nerve; not purified Schwann
PMP22_P2	ENCSR479GPU	H3K9me3	0	ENCFF671DNU	bulk tibial nerve; not purified Schwann
PMP22_DISTAL	ENCSR479GPU	H3K9me3	0	ENCFF671DNU	bulk tibial nerve; not purified Schwann
